id_unidade_sie,nome_unidade,cod_estruturado,id_centro_sie,id_tipo_unidade,id_situacao_unidade
5966,Planetário,01.07.06.02.1.0,205,14,1
2706,Protocolo e Arquivo - DCF,01.12.01.01.1.0,205,14,1
2704,Seção de Contabilidade,01.12.01.02.2.0,205,14,1
6060,Subdivisão de Acessibilidade,01.08.14.01.0.0,205,14,1
6678,Subdivisão de Análise Preliminar e de Medidas Alternativas,01.03.02.00.0.0,205,14,1
6055,Subdivisão de Registro de Documentos,01.08.12.02.0.0,205,14,1
6592,Secretaria Unificada de Cursos de Graduação/FW,33.06.01.00.0.0,4634,14,1
88,Centro de Ciências da Saúde,04.00.00.00.0.0,88,26,1
4836,Departamento de Saúde Coletiva,04.75.00.00.0.0,88,4,1
4600,Biblioteca Setorial - PM,32.31.00.00.0.0,4564,11,99
2739,Departamento de Relações Empresariais,25.06.00.00.0.0,2732,14,99
6537,Secretaria Integrada dos Cursos de Pós-Graduação do CCR,03.05.03.00.0.0,85,14,1
4642,Setor de Nutrição - UEIIA,29.03.02.00.0.0,3202,14,1
190,Departamento de Odontologia Restauradora,04.42.00.00.0.0,88,4,1
1327,Secretaria do Curso de Medicina,04.09.05.00.1.0,88,13,99
6321,Instituto de Redes Inteligentes,07.82.00.00.0.0,117,14,99
5872,Núcleo de Patrimônio - PM,32.08.00.00.0.0,4564,14,99
4271,Biblioteca - CS,31.19.00.00.0.0,4051,10,99
6683,Núcleo de Assistência Aos Estudantes e Servidores,31.25.00.00.0.0,4051,10,99
2360,Secretaria do Programa Pg em Enfermagem,04.10.19.00.1.0,88,13,99
560,Secretaria Curso-Programa Pg em Educação,05.10.03.00.1.0,94,13,99
2396,Secretaria do Curso de Pedagogia Licenciatura Plena Diurno,05.09.07.00.1.0,94,13,99
2415,Secretaria do Curso de Pedagogia Licenciatura Plena Noturno,05.09.06.00.1.0,94,13,99
3829,Secretaria Pg Mestrado Prof. Tecnologias Educacionais em Rede,05.10.16.00.1.0,94,13,99
4660,Secretaria Pg Políticas Públicas e Gestão Educacional,05.10.20.00.1.0,94,13,99
4527,Núcleo de Comunicação Institucional - CE,05.04.04.00.0.0,94,14,99
4526,Núcleo de Infraestrutura - CE,05.04.03.00.0.0,94,14,99
3945,Núcleo de Patrimônio - CE,05.04.02.00.0.0,94,14,99
1232,Secretaria do Centro - CE,05.04.00.00.0.0,94,14,99
2717,Departamento de Administração,26.03.00.00.0.0,2712,14,99
5871,Núcleo de Infraestrutura Física - PM,32.07.00.00.0.0,4564,14,99
6283,Núcleo de Gestão Orçamentária do CCNE,02.08.00.00.0.0,82,14,1
6266,Secretaria Integrada dos Cursos de Graduação das Ciências Naturais,02.06.01.00.0.0,82,14,1
6238,Subdivisão de Patrimônio do CCSH,06.15.01.00.0.0,91,14,1
6565,Biotério Central,01.09.23.00.0.0,205,14,1
71,Departamento de Biologia,02.30.00.00.0.0,82,4,1
4567,Vice-Direção do Campus de Palmeira das Missões,32.03.00.00.0.0,4564,27,1
207,Restaurante Universitario,01.35.00.00.0.0,205,17,1
556,Biblioteca Setorial - CE,05.32.00.00.0.0,94,11,99
6268,Secretaria Integrada dos Cursos de Pós-Graduação do CCNE,02.06.03.00.0.0,82,14,1
6269,Subdivisão de Gestão de Relatórios Institucionais,02.06.03.01.0.0,82,14,1
6286,Subdivisão de Projetos do CCNE,02.12.00.00.0.0,82,14,1
6222,Secretaria Integrada dos Cursos de Graduação do CCSH I,06.14.01.00.0.0,91,14,1
6241,Setor de Apoio Pedagógico do CCSH,06.17.00.00.0.0,91,14,1
6301,Secretaria Integrada dos Cursos de Pós-Graduação do CT,07.06.04.00.0.0,117,14,1
6307,Subdivisão de Comunicação do CT,07.93.00.00.0.0,117,14,1
5968,Museu Gama D'Eça,01.07.06.02.2.0,205,14,1
3207,Núcleo de Atenção ao Estudante,01.06.00.04.0.0,205,14,1
5963,Núcleo de Gestão Artística e Cultural,01.07.06.01.0.0,205,14,1
3620,Seção de Gestão dos Arquivos Setoriais,01.84.02.01.0.0,205,14,1
6052,Subdivisão de Educação a Distância,01.08.11.02.0.0,205,14,1
6051,Subdivisão de Tecnologias Educacionais em Rede,01.08.11.01.0.0,205,14,1
5062,Unidade de Comunicação Integrada,01.10.04.01.0.0,205,14,1
149,Departamento de Farmácia Industrial,04.35.00.00.0.0,88,4,1
5439,Farmácia Escola,04.21.00.00.0.0,88,11,1
6063,Biblioteca Central,01.08.15.00.0.0,205,10,1
4837,Secretaria Depto de Saúde Coletiva,04.75.00.01.0.0,88,13,99
5387,Secretaria do Curso de Farmácia,04.09.08.00.1.0,88,13,99
1254,Secretaria Depto Educação Especial,05.24.00.01.0.0,94,13,99
557,Secretaria Biblioteca - CE,05.32.00.01.0.0,94,13,99
4611,Secretaria Curso-Programa Pg Mestrado Profissional Profhistória,05.10.18.00.1.0,94,13,99
6050,Coordenadoria de Tecnologia Educacional,01.08.11.00.0.0,205,14,1
6043,Núcleo de Apoio Administrativo-Orçamentário,01.08.00.03.0.0,205,14,1
6044,Núcleo de Avaliação Externa e Regulação,01.08.00.04.0.0,205,14,1
6045,"Núcleo de Estratégia, Controle e Projetos Acadêmicos",01.08.01.01.0.0,205,14,1
6048,Núcleo de Formação Inicial e Continuada,01.08.10.01.0.0,205,14,1
6049,Núcleo de Projetos Pedagógicos,01.08.10.02.0.0,205,14,1
6554,Núcleo de Seleção e Bolsas da Pós-Graduação,01.09.01.03.0.0,205,14,1
2562,Setor Administrativo - CSG,01.11.01.01.0.0,205,14,1
4907,Secretaria Executiva - Silveira Martins,01.79.03.01.0.0,205,14,99
5286,Núcleo de Acompanhamento de Egressos,26.04.00.10.0.0,2712,14,99
6291,Jardim Botânico,02.15.00.00.0.0,82,14,1
6285,Subdivisão de Gestão de Estágios do CCNE,02.11.01.00.0.0,82,14,1
6549,Biblioteca Setorial do CCR,03.12.00.00.0.0,85,14,1
6236,Núcleo de Infraestrutura do CCSH,06.15.00.00.0.0,91,14,1
6255,Subdivisão de Patrimônio do CEFD,09.07.01.00.0.0,97,14,1
6319,Laboratório de Ciências da Computação,07.80.00.00.0.0,117,14,1
6306,Secretaria Integrada de Departamentos do CT,07.06.05.00.0.0,117,14,1
6304,Subdivisão de Pós-Graduação do CT III,07.06.04.03.0.0,117,14,1
6305,Subdivisão de Pós-Graduação do CT Iv,07.06.04.04.0.0,117,14,1
6310,Subdivisão de Tecnologia da Informação do CT,07.94.00.00.0.0,117,14,1
